FullGeoName,Year,State,County,FIPS,RiskFactor,DataType,Indicator,Prevalence
"AL, Autauga",2021,AL,Autauga County,1001,All patients,Adjusted Prevalence,"DR, any stage",3.65
"AL, Baldwin",2021,AL,Baldwin County,1003,All patients,Adjusted Prevalence,"DR, any stage",2.15
"AL, Barbour",2021,AL,Barbour County,1005,All patients,Adjusted Prevalence,"DR, any stage",4.59
"AL, Bibb",2021,AL,Bibb County,1007,All patients,Adjusted Prevalence,"DR, any stage",4.42
"AL, Blount",2021,AL,Blount County,1009,All patients,Adjusted Prevalence,"DR, any stage",2.65
"AL, Bullock",2021,AL,Bullock County,1011,All patients,Adjusted Prevalence,"DR, any stage",3.94
"AL, Butler",2021,AL,Butler County,1013,All patients,Adjusted Prevalence,"DR, any stage",3.59
"AL, Calhoun",2021,AL,Calhoun County,1015,All patients,Adjusted Prevalence,"DR, any stage",3.28
"AL, Chambers",2021,AL,Chambers County,1017,All patients,Adjusted Prevalence,"DR, any stage",3.05
"AL, Cherokee",2021,AL,Cherokee County,1019,All patients,Adjusted Prevalence,"DR, any stage",2.47
"AL, Chilton",2021,AL,Chilton County,1021,All patients,Adjusted Prevalence,"DR, any stage",3.2
"AL, Choctaw",2021,AL,Choctaw County,1023,All patients,Adjusted Prevalence,"DR, any stage",3.47
"AL, Clarke",2021,AL,Clarke County,1025,All patients,Adjusted Prevalence,"DR, any stage",3.08
"AL, Clay",2021,AL,Clay County,1027,All patients,Adjusted Prevalence,"DR, any stage",3.47
"AL, Cleburne",2021,AL,Cleburne County,1029,All patients,Adjusted Prevalence,"DR, any stage",3.06
"AL, Coffee",2021,AL,Coffee County,1031,All patients,Adjusted Prevalence,"DR, any stage",3.44
"AL, Colbert",2021,AL,Colbert County,1033,All patients,Adjusted Prevalence,"DR, any stage",2.49
"AL, Conecuh",2021,AL,Conecuh County,1035,All patients,Adjusted Prevalence,"DR, any stage",2.88
"AL, Coosa",2021,AL,Coosa County,1037,All patients,Adjusted Prevalence,"DR, any stage",3.09
"AL, Covington",2021,AL,Covington County,1039,All patients,Adjusted Prevalence,"DR, any stage",2.81
"AL, Crenshaw",2021,AL,Crenshaw County,1041,All patients,Adjusted Prevalence,"DR, any stage",3.47
"AL, Cullman",2021,AL,Cullman County,1043,All patients,Adjusted Prevalence,"DR, any stage",2.58
"AL, Dale",2021,AL,Dale County,1045,All patients,Adjusted Prevalence,"DR, any stage",3.21
"AL, Dallas",2021,AL,Dallas County,1047,All patients,Adjusted Prevalence,"DR, any stage",5.25
"AL, De Kalb",2021,AL,DeKalb County,1049,All patients,Adjusted Prevalence,"DR, any stage",2.65
