FullGeoName,Year,State,County,FIPS,RiskFactor,DataType,Indicator,Prevalence,ToxPi Score,Name,Source,Temperature-related deaths!1!0x88cceeff,Disaster-related deaths!1!0x44aa99ff,Air pollution-related deaths!1!0x117733ff,Air pollution-related illnesses!1!0x332288ff,Infectious Diseases!1!0xddcc77ff,ToxPi Score_socio,Name_socio,Source_socio,Costs of Climate Disasters!1!0x88cceeff,Economic & Productivity Losses!1!0x44aa99ff,Transition Risks!1!0x117733ff,Social Stressors!1!0x332288ff,ToxPi Score_env,Name3,Source_env,Transportation Sources!1!0x88cceeff,Exposures & Risks!1!0x44aa99ff,Pollution Sources!1!0x117733ff,Criteria Air Pollutants!1!0x332288ff,Land Use!1!0xddcc77ff,ToxPi Score_infra,Name_infra,Source_infra,Transportation!1!0x88cceeff,Energy!1!0x44aa99ff,"Food, Water, and Waste Management!1!0x117733ff",Communications!1!0x332288ff,Financial Services!1!0xddcc77ff,Governance!1!0x999933ff
"AL, Autauga",2021,AL,Autauga County,1001,All patients,Adjusted Prevalence,"DR, any stage",3.65,0.676793832555463,"AL, Autauga","+32.5363818,-086.6444901",0.758115849777212,0.978111728193401,0.627859778597786,0.970719287078294,0.0491625191306206,0.481049256630829,"AL, Autauga","+32.5363818,-086.6444901",0.475595946511354,0.507784482142341,0.827021121889253,0.113795475980368,0.569376464941402,"AL, Autauga","+32.5363818,-086.6444901",0.474183644990232,0.770410982724685,0.531949154609998,0.716309755569976,0.354028786812117,0.644976921755948,"AL, Autauga","+32.5363818,-086.6444901",0.814010196022154,0.447763227224268,0.639807011812293,0.491411141435222,0.801347493651839,0.675522460389912
"AL, Baldwin",2021,AL,Baldwin County,1003,All patients,Adjusted Prevalence,"DR, any stage",2.15,0.648160837196358,"AL, Baldwin","+30.6592183,-087.7460666",0.834818586887333,0.978111728193401,0.346863468634686,0.822724379376193,0.258286022890175,0.538547334720732,"AL, Baldwin","+30.6592183,-087.7460666",0.83216328639282,0.543324177997077,0.60560744057946,0.173094433913572,0.499533069698685,"AL, Baldwin","+30.6592183,-087.7460666",0.592194622755605,0.377439181682627,0.62349037499695,0.50410988535583,0.400431283702415,0.529598663401076,"AL, Baldwin","+30.6592183,-087.7460666",0.687178077695644,0.147040532920152,0.48501593392662,0.486755498474876,0.819554607021426,0.552047330367738
"AL, Barbour",2021,AL,Barbour County,1005,All patients,Adjusted Prevalence,"DR, any stage",4.59,0.689013809426466,"AL, Barbour","+31.8706701,-085.4054562",0.716740929344367,0.978111728193401,0.491328413284133,0.981858688733291,0.277029287577138,0.494075843790259,"AL, Barbour","+31.8706701,-085.4054562",0.562071845680023,0.571206549861662,0.634871592972026,0.208153386647325,0.428393538182689,"AL, Barbour","+31.8706701,-085.4054562",0.437901200111638,0.636314962304006,0.25654475809403,0.504650659744755,0.306556110659015,0.68761563445704,"AL, Barbour","+31.8706701,-085.4054562",0.500345283430211,0.627434669079596,0.664590142935406,0.868839300048162,0.615808338361768,0.8486760728871
"AL, Bibb",2021,AL,Bibb County,1007,All patients,Adjusted Prevalence,"DR, any stage",4.42,0.690800665858666,"AL, Bibb","+33.0158929,-087.1271475",0.7017823042648,0.978111728193401,0.724723247232472,0.976766390833864,0.0726196587687947,0.476931548695294,"AL, Bibb","+33.0158929,-087.1271475",0.409075509728417,0.644601767589577,0.683185052110697,0.170863865352483,0.465005463122613,"AL, Bibb","+33.0158929,-087.1271475",0.525258163550098,0.53441480550863,0.350842950203723,0.640385031364915,0.274126364985698,0.677252467072191,"AL, Bibb","+33.0158929,-087.1271475",0.474314706987563,0.617310611174151,0.615974123987018,0.817627227484347,0.745078843285832,0.793209289514233
"AL, Blount",2021,AL,Blount County,1009,All patients,Adjusted Prevalence,"DR, any stage",2.65,0.680442763250867,"AL, Blount","+33.9774479,-086.5672464",0.681413112667091,0.978111728193401,0.600184501845019,0.898472310630172,0.244032162918653,0.52634151626363,"AL, Blount","+33.9774479,-086.5672464",0.473886103322823,0.74970360818862,0.601098184393184,0.280678169149893,0.480802356280088,"AL, Blount","+33.9774479,-086.5672464",0.471206623871988,0.537988210794913,0.341840095640081,0.6786718581008,0.374304992992659,0.684028968243194,"AL, Blount","+33.9774479,-086.5672464",0.881539522487145,0.447652714484996,0.359316913539683,0.749719056028255,0.81929450540186,0.846651097517224
"AL, Bullock",2021,AL,Bullock County,1011,All patients,Adjusted Prevalence,"DR, any stage",3.94,0.727973649220862,"AL, Bullock","+32.1017589,-085.7172613",0.75493316359007,0.978111728193401,0.534317343173432,0.993634627625716,0.378871383521691,0.556129660140409,"AL, Bullock","+32.1017589,-085.7172613",0.765098822353563,0.530836194138253,0.711344896865807,0.217238727204012,0.43626365599204,"AL, Bullock","+32.1017589,-085.7172613",0.597311377802586,0.579831748421024,0.185229463000464,0.527471338957387,0.291474351778737,0.731411023212339,"AL, Bullock","+32.1017589,-085.7172613",0.476237291267077,0.627434669079596,0.833897097292513,0.933055065018462,0.748286763260473,0.769555253355914
"AL, Butler",2021,AL,Butler County,1013,All patients,Adjusted Prevalence,"DR, any stage",3.59,0.696967028802055,"AL, Butler","+31.7516670,-086.6819689",0.794080203691916,0.978111728193401,0.506088560885609,0.953214513049013,0.253340138190338,0.520313085802804,"AL, Butler","+31.7516670,-086.6819689",0.492592595137296,0.724988725361207,0.664595873546865,0.199075149165848,0.445812820945062,"AL, Butler","+31.7516670,-086.6819689",0.646292678388687,0.431196959665511,0.41027642911167,0.438135409906987,0.303162627652454,0.579964035778816,"AL, Butler","+31.7516670,-086.6819689",0.221675606492169,0.469169878433266,0.679500678277406,0.689998394605876,0.546534607017484,0.872905049846696
"AL, Calhoun",2021,AL,Calhoun County,1015,All patients,Adjusted Prevalence,"DR, any stage",3.28,0.736627629169051,"AL, Calhoun","+33.7717061,-085.8225133",0.790897517504774,0.978111728193401,0.688376383763838,0.906747294716741,0.319005221666502,0.545026522345508,"AL, Calhoun","+33.7717061,-085.8225133",0.610968039195263,0.569529993961509,0.712081101957444,0.287526954267814,0.575754336325934,"AL, Calhoun","+33.7717061,-085.8225133",0.476230347009024,0.594869702698335,0.672652304389197,0.794613887086308,0.340405440446807,0.733435661543039,"AL, Calhoun","+33.7717061,-085.8225133",0.739733879748321,0.852779893383344,0.775510464456503,0.580189436506663,0.665661148778493,0.78673914638491
"AL, Chambers",2021,AL,Chambers County,1017,All patients,Adjusted Prevalence,"DR, any stage",3.05,0.721718646404816,"AL, Chambers","+32.9179433,-085.3918121",0.746021642266073,0.978111728193401,0.633210332103321,0.97422024188415,0.277029287577138,0.461312930638766,"AL, Chambers","+32.9179433,-085.3918121",0.486367719206199,0.402914959943661,0.652816592080675,0.303152451324528,0.509549369516567,"AL, Chambers","+32.9179433,-085.3918121",0.419666945762397,0.615375459924535,0.405470027081758,0.677914773956305,0.429319640857839,0.646250173815132,"AL, Chambers","+32.9179433,-085.3918121",0.475235954357559,0.485085301845251,0.577107965313228,0.800770589179644,0.616155140521188,0.923146091673919
"AL, Cherokee",2021,AL,Cherokee County,1019,All patients,Adjusted Prevalence,"DR, any stage",2.47,0.732139913198633,"AL, Cherokee","+34.0695153,-085.6542417",0.655951623169956,0.978111728193401,0.757011070110701,0.893380012730745,0.376245131788362,0.565487267270582,"AL, Cherokee","+34.0695153,-085.6542417",0.566323958973185,0.595030203863722,0.709780461046079,0.390814445199343,0.427038189040004,"AL, Cherokee","+34.0695153,-085.6542417",0.269094799516234,0.523227160840888,0.337594847146656,0.770279039584685,0.234995098111558,0.675794008914615,"AL, Cherokee","+34.0695153,-085.6542417",0.502354301599731,0.649601027440993,0.553110834755395,0.766575694332959,0.764499764213391,0.818622431145221
